=== FIRESTORE DATASET UPLOAD REPORT ===
Execution Date   : 2026-07-16 00:59:27 UTC
Source File      : /Users/hardiksahni/Desktop/samsung-project/database/processed/energy_usage_clean.csv
Target Collection: energy_logs
Total Rows       : 21,600
Uploaded Rows    : 6,500
Failed Rows      : 15,100
Duration         : 85.23 minutes
----------------------------------------
Batch Execution Log:
[2026-07-15 23:34:17] Batch 01/44 - SUCCESS: Uploaded 500 rows (500/21600)
[2026-07-15 23:34:18] Batch 02/44 - SUCCESS: Uploaded 500 rows (1000/21600)
[2026-07-15 23:34:19] Batch 03/44 - SUCCESS: Uploaded 500 rows (1500/21600)
[2026-07-15 23:34:20] Batch 04/44 - SUCCESS: Uploaded 500 rows (2000/21600)
[2026-07-15 23:34:22] Batch 05/44 - SUCCESS: Uploaded 500 rows (2500/21600)
[2026-07-15 23:34:23] Batch 06/44 - SUCCESS: Uploaded 500 rows (3000/21600)
[2026-07-15 23:34:24] Batch 07/44 - SUCCESS: Uploaded 500 rows (3500/21600)
[2026-07-15 23:34:25] Batch 08/44 - SUCCESS: Uploaded 500 rows (4000/21600)
[2026-07-15 23:34:26] Batch 09/44 - SUCCESS: Uploaded 500 rows (4500/21600)
[2026-07-15 23:34:27] Batch 10/44 - SUCCESS: Uploaded 500 rows (5000/21600)
[2026-07-15 23:34:27] Batch 11/44 - SUCCESS: Uploaded 500 rows (5500/21600)
[2026-07-15 23:34:28] Batch 12/44 - SUCCESS: Uploaded 500 rows (6000/21600)
[2026-07-15 23:34:29] Batch 13/44 - SUCCESS: Uploaded 500 rows (6500/21600)
[2026-07-15 23:37:16] Batch 14/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:40:01] Batch 15/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:42:37] Batch 16/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:45:24] Batch 17/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:48:10] Batch 18/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:51:01] Batch 19/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:53:40] Batch 20/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:56:11] Batch 21/44 - FAILED: Failed to upload 500 rows
[2026-07-15 23:58:53] Batch 22/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:01:48] Batch 23/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:04:38] Batch 24/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:07:31] Batch 25/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:10:21] Batch 26/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:12:57] Batch 27/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:15:45] Batch 28/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:18:24] Batch 29/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:21:09] Batch 30/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:24:08] Batch 31/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:26:47] Batch 32/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:29:18] Batch 33/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:31:58] Batch 34/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:34:37] Batch 35/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:37:24] Batch 36/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:40:14] Batch 37/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:42:53] Batch 38/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:45:50] Batch 39/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:48:33] Batch 40/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:51:08] Batch 41/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:53:53] Batch 42/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:56:39] Batch 43/44 - FAILED: Failed to upload 500 rows
[2026-07-16 00:59:27] Batch 44/44 - FAILED: Failed to upload 100 rows
